title,petType,images,description
"Bird Chewing Swing Toys Set, Natural Applewood Parrots Standing Perch Toy Set for Bird Cage Accessories(7 Piece Set)",bird,https://m.media-amazon.com/images/I/416j6F48DrL._SS522_.jpg~https://m.media-amazon.com/images/I/419Fb60ZT8L._SS522_.jpg~https://m.media-amazon.com/images/I/41WhUkW-ByL._SS522_.jpg~https://m.media-amazon.com/images/I/41ykFOnESTL._SS522_.jpg~https://m.media-amazon.com/images/I/51GqzCIxOOL._SS522_.jpg~https://m.media-amazon.com/images/I/51E+LGdILKL._SS522_.jpg~https://m.media-amazon.com/images/I/51XRFC8-shL._SS522_.jpg,"Feature:1. Made of healthy applewood and vine ball, it is polished smoothly and will not damage the feet of the bird, and the bird can eat safely.2. It is designed to rest the bird's feet and at the same time provide exercise opportunities for the birds to stay healthy and active.3. Provides an ideal place for birds to swing, chew and climb at a high place, and provide a fun place for pets to play and relieve pet anxiety.4. Different types of chewing toys meet the various needs of birds for fun. Birds like to bounce between the toys to exercise.5. Easy to install, comes with movable hooks or screws, which can be easily installed in the cage.Specification:Item Type: Birds Toy SetMaterial: Applewood, Sepak TakrawPurpose: Bird Toy Package List:1 x Swing1 x Rings1 x Sepak Takraw1 x Platform ( Platform + Station Stick)1 x Stand Stick1 x Branch Stick1 x Vine Ball"
"GlobalNiche® Wine Red, 58X45Cm: Dog House Candy Color Square Pet Kennel Autumn Winter Warm Nest Puppy Cat Bed Sofa Pad Small Dog Mat Teddy Chihuahua Dogg",dog,https://m.media-amazon.com/images/I/41oLeJ7TVOL._SS522_.jpg~https://m.media-amazon.com/images/I/51xhrjgpNOL._SS522_.jpg~https://m.media-amazon.com/images/I/51T3D8Jfl5L._SS522_.jpg~https://m.media-amazon.com/images/I/41tXF2E7x8L._SS522_.jpg~https://m.media-amazon.com/images/I/41oLeJ7TVOL._SS522_.jpg~https://m.media-amazon.com/images/I/51xhrjgpNOL._SS522_.jpg~https://m.media-amazon.com/images/I/51T3D8Jfl5L._SS522_.jpg,"GlobalNiche Wine Red, 58X45Cm: Dog House Candy Color Square Pet Kennel Autumn Winter Warm Nest Puppy Cat Bed Sofa Pad Small Dog Mat Teddy Chihuahua Dogg"
Meri SHOPP Cat Scratching Toy Sisal Climb Rope Post Ball with 3-Layer Turntable Layer,cat,https://m.media-amazon.com/images/I/41jWaai1pPL._SS522_.jpg~https://m.media-amazon.com/images/I/31R0Qz+wjvS._SS522_.jpg,"Description:This funny cat play toy natural sisal rope post ball with wood swivel tray and spring support feather toy- strong and durable for cats biting and scratchingLovely mushroom shape and 3-layer wood tray with wooden interactive playing catnip ball for indoor cats exercise and playtime sessionDesigned for satisfying cat39;s scratching nature and preventing cats kittens from damaging furniture effectivelyProvide your cats endless fun while playing with it and make your relationship with pet friend closer.Tumbler design reduces the boredom and the anxiety of your cats and clean, polishes their teeth by chewing themSpecification:Material: Pine Wood, Sisal RopeWood Base Size: 35x21cm/ 13.78x8.26 inches Height: 26cm/10.23 inchesPackage Includes:1 Piece Cat Play Toy"
"Petslife Fruit Mix Bird Food, 400 g (Large)",bird,https://m.media-amazon.com/images/I/41EKn+mAv0L._SS522_.jpg~https://m.media-amazon.com/images/I/41EKn+mAv0L._SS522_.jpg,
"Freshly Baked Cookie, Real Chicken and Peanut Butter, 2kg 025",dog,https://m.media-amazon.com/images/I/41m99CpHrkL._SS522_.jpg,"All dogs love the taste of soft and chewy treats that make their tails wag and their mouths water. Hanu Treats are delicious, tender snacks that are made with real chicken and fortified with over 15 vitamins and minerals. With over 10 years of experience in dog treats, you know Hanu brand dog snacks uses only high quality ingredients.100 percent all natural, 100 percent premium human grade, 100 percent good for canines. Packed with nutrition and flavour."
"Bunny Grass House-Hand Made Edible Natural Grass Hideaway Comfortable Playhouse for Rabbits, Guinea Pigs and Small Animals to Play,Sleep and Eat (style3)",small-animals,https://m.media-amazon.com/images/I/6123kZDn7xL._SS522_.jpg~https://m.media-amazon.com/images/I/51N9X2BL3PL._SS522_.jpg~https://m.media-amazon.com/images/I/51wRsHR5fNL._SS522_.jpg~https://m.media-amazon.com/images/I/51m9+sDsYJL._SS522_.jpg~https://m.media-amazon.com/images/I/518YO2JrTcL._SS522_.jpg~https://m.media-amazon.com/images/I/41qj4zK4QJL._SS522_.jpg,"Specifications:   Package includes and Size： 2 Bunny Grass House: 11.8x7.87x9.02 inch 1 Apple Wood Skewer: 8.26 inch 50g Apple Tree Branch: 3.93 inch 3 Grass Stick: 4.72 inch 3 Ranttan Ball: 1.96 inch 1 Rope: 10 meters 4 S-shaped Hook: 3.14 inch 3 Pine Cone: 1.96 inch 1 Paper Carrot: 3.54 inch 2 Colored Loofah: 2.75 inch  Features The woven grass beds are made of natural dry grass, has its own organic grass fragrance that makes the pet feel relaxed, as if they are in their natural homes. Your beloved pet will enjoy their food as if in a natural environment. Cool in summer and warm in winter. Provide your pet with a softer area to lay on when needed. The little toys in our package will be liked by your pets, because they are healthy and cute. The rope and S-shaped hooks could help to hang the grass house wherever you need Chewing is a perfectly natural behavior for small animals and many small pets love to chew on wood, hay, straw and other organic materials. Even the birds love foraging on these mats, can be used as a chew toy that helps to wear her teeth down.The grass bed acts a protective barrier between your pet’s dainty paws and the hard wire cage bottoms. This multipurpose folding woven grass house is a comfortable nest"
"6 Pieces Hen Chicken Toys, Chicken Mirror Toy with Bells, Chicken Xylophone Toy with 8 Metal Keys, Parrot Grinding Stone, Sepak Takraw Toy, Dangling Bird Toy",small-animals,https://m.media-amazon.com/images/I/51Rarl1B1lS._SS522_.jpg~https://m.media-amazon.com/images/I/518nTGPGA2S._SS522_.jpg~https://m.media-amazon.com/images/I/51wCruTt63S._SS522_.jpg~https://m.media-amazon.com/images/I/51GkLgVCDrS._SS522_.jpg~https://m.media-amazon.com/images/I/51ZU2I7S4AS._SS522_.jpg~https://m.media-amazon.com/images/I/51a5UfgFYJS._SS522_.jpg~https://m.media-amazon.com/images/I/51188cGG9BS._SS522_.jpg,"Features: The xylophone is composed of 8 metal keys, and also contains a grindstone and chain for hanging. When your chicken pecks them, it will make a beautiful sound. Chickens are inherently aggressive, especially for roosters. Mirror toys let your rooster peck at himself in the mirror, making him feel less lonely and less bored. The chewing beak grindstone contains calcium, which is good for the health of pet hens during grinding.  specification: Chicken Xylophone: Size: 9.4 x 4.7 x 1.2 inches Material: wood Color: as shown Chicken mirror: Size: 3.9 x 3.9 inches Material: Pine wood Color: red, yellow  Grinding stone: Size: 3.9 inches long Material: calcium stone Random Color Sepak takraw toys: Size: 4.7 inches long Material: plastic, wood Color: as shown  The package includes: 1 x Chicken Xylophone Toy 2 x Wooden mirror toy 1 x Sepak takraw toy 2 x Parrot Grindstone"
"Woofy Cat Cute Printed Dog Puppy Cat Kitten Pet Collar Adjustable Necklace with Bell, Cat Accessories Collar for Kitten Cat (1Pcs Sky Blue Color)",cat,https://m.media-amazon.com/images/I/416rwDlTZrL._SS522_.jpg~https://m.media-amazon.com/images/I/41TfQoKpvmL._SS522_.jpg~https://m.media-amazon.com/images/I/416rwDlTZrL._SS522_.jpg~https://m.media-amazon.com/images/I/31wzE6ZWpXL._SS522_.jpg~https://m.media-amazon.com/images/I/516-Rhd-4GL._SS522_.jpg~https://m.media-amazon.com/images/I/610GUOVvTFL._SS522_.jpg~https://m.media-amazon.com/images/I/511Ej7iwUDL._SS522_.jpg,"Printed pet necklace, cute and lovely. Durable and adjustable, it will not hurt your pet. With buckle, easy and convenient to wear and remove. Width: 1cm , Adjustable Length: 15cm - 35cm Pack of 1 ( Color May Vary )"
"Cat Grooming Bag, Cat Shower Net Bag Cat Washing Shower Bag with 420D PU Oxford Cloth for Cats for Bath",cat,https://m.media-amazon.com/images/I/41RrjwPPQpL._SS522_.jpg~https://m.media-amazon.com/images/I/41R1EBlcxsL._SS522_.jpg~https://m.media-amazon.com/images/I/41tD71EUwCL._SS522_.jpg~https://m.media-amazon.com/images/I/41+9Av6kPrL._SS522_.jpg~https://m.media-amazon.com/images/I/515bH8EFSgL._SS522_.jpg~https://m.media-amazon.com/images/I/41xYHtl2UJL._SS522_.jpg~https://m.media-amazon.com/images/I/41ZBuXb0l8L._SS522_.jpg,"Feature:1. The mesh panels allow water to in and out of the shower.2. There is a portable design, you can take it away.3. Take a shower or cut nails for your pets without getting scratched.4. 420D PU oxford cloth, strong and durable.5. Multi‑functional and multi‑scene application, such as cat bathing, nail clipping, ear pulling, medicine, injection, etc.Specification:Condition: 100% Brand NewItem Type: Cat Bath BagMaterial: 420D PU Oxford ClothColor: As Pictures Shown Product Size: Approx. 49x26 cm/19.3x10.2 inWeight: Approx. 108.0gSuitable for pet type: CatProduct Function: A no scratching bag for cats bathing  Package List:1 x Cat Bath BagNote:1. Please allow 1-3cm error due to manual measurement. Thanks for your understanding.2. Monitors are not calibrated same, item color displayed in photos may be showing slightly different from the real object. Please take the real one as standard."
"Savic: - Rolly Giant Wheel for Small Pets Like - Hamster, Guinea Pig, Mice, Mouse, and Gerbil | Can be Mounted on Cage Wire | Transparent Activity Ball, Safe to Use and Easy to Clean -19 cm",small-animals,https://m.media-amazon.com/images/I/31djfBl0uPL._SS522_.jpg~https://m.media-amazon.com/images/I/51NYGqCgvPL._SS522_.jpg~https://m.media-amazon.com/images/I/41GAwFyg--L._SS522_.jpg~https://m.media-amazon.com/images/I/519ExHlCamL._SS522_.jpg~https://m.media-amazon.com/images/I/41EpEtckWUL._SS522_.jpg~https://m.media-amazon.com/images/I/41AXtpjsrcL._SS522_.jpg~https://m.media-amazon.com/images/I/41SAUxi+e4L._SS522_.jpg,"Give your pet the mental stimulation it needs with our Rolly Giant exercise wheel. An exercise wheel helps your pets burn off energy, utilizing their natural instinct to run. Our rolly wheel has a closed running surface and back wall which provides security and protection. We recommend you check your wheel regularly for signs of nibbling and other damage, in order to avoid injury to your pet. To ensure the wheel keeps turning easily we recommend occasional treatment with cooking oil. THE JUMBO ONE: Give your pet the stimulation it needs with the Savic Giant exercise wheel. This large wheel is suitable for Rats Chinchillas, hedgehogs, and other small animals. THE PERFECT SIZE: The Giant roll measures nearly 11 inches in diameter. The wheel can be mounted on cage wire as well. SOLID DESIGN: The Savic Rolly wheel features a solid plastic back and running surface to provide security ad protection. LONG-LASTING DESIGN; the Giant Rolly wheel is designed to provide years of excise for your pet. It is recommended that you add a small aunt of cooking oil to the muting point to ensure smooth operation. The Savic Giant wheel is proudly made in Belgium. Set Contains: Each order comes with 1 x Savic Rolly Giant + Stand Exercise Wheel Dia 27,5 Cm"
Pet Believe Durable Plastic Rectangle Holes Litter Scooper for Cat/Kitten (Color May Vary),cat,https://m.media-amazon.com/images/I/317p3w4POBL._SS522_.jpg~https://m.media-amazon.com/images/I/21n+ntiZYIL._SS522_.jpg~https://m.media-amazon.com/images/I/21n+ntiZYIL._SS522_.jpg~https://m.media-amazon.com/images/I/31Y4xa6SQeL._SS522_.jpg~https://m.media-amazon.com/images/I/21n+ntiZYIL._SS522_.jpg,"The cat litter needs to be cleaned on regular basis. If not cleaned on regular basis it can cause odor within the house and is unhygienic for your cat as well. You can clean the litter tray and box efficiently with this litter scooper. This scooper has been shaped in a way to ensure maximum cleaning in the least amount of time. This litter scooper is made of durable high grade plastic and can be cleaned easily. There are many products, which come with a scooper as well. A litter box is quintessential if you have a cat in your home. Most of the house cats do not go out if they need to soil. They need a place within the house which is away from distraction so that they can go whenever they. You can train your kitten to use this from an early age to ensure that she is fully toilet trained. Place it an area that is easily accessible to your cat or kitten."
Rabbit Hay Feeder Bag Guinea Hay Feeder Storage Small s Hanging Feeg Bag with Easy Carry Strap 600D Ox Fabric for Rabbit Bunny Chinchilla,small-animals,https://m.media-amazon.com/images/I/31nGaAul5QL._SS522_.jpg~https://m.media-amazon.com/images/I/31nGaAul5QL._SS522_.jpg~https://m.media-amazon.com/images/I/41HMwII6QhL._SS522_.jpg~https://m.media-amazon.com/images/I/51iMDb45lnS._SS522_.jpg~https://m.media-amazon.com/images/I/41ZEDAOlUtL._SS522_.jpg~https://m.media-amazon.com/images/I/41F0FRaIY+S._SS522_.jpg~https://m.media-amazon.com/images/I/51456oXxseS._SS522_.jpg,Hanging hay feeder bag makes your ts in oer while eating and keeping your t cage clean.  Scifications: Material: 600D Ox Fabric Color: Black / Green / Purple (Optional) Item Size: 23 * 3 * 28 / 9.1 * 1.2 * 11.0in Package Size: 30 * 26 * 1 / 11.8 * 10.2 * 0.4in Package Weight: 150g / 5.29oz  Package List: 1 * Feeder Bag
"Reptile Net Hammock, Fixed Durable Practical Reptile Hammock Breathable with Suction Cups for Anoles for Iguanas for Lizards(Green, S)",reptile,https://m.media-amazon.com/images/I/41DvEfkryML._SS522_.jpg~https://m.media-amazon.com/images/I/51rMhlVRP5L._SS522_.jpg~https://m.media-amazon.com/images/I/41QGIEuLPPL._SS522_.jpg~https://m.media-amazon.com/images/I/61KlX7MPydL._SS522_.jpg~https://m.media-amazon.com/images/I/51Qcwcbq4bL._SS522_.jpg~https://m.media-amazon.com/images/I/419D03SR2eL._SS522_.jpg~https://m.media-amazon.com/images/I/51jtZ+r91NL._SS522_.jpg,"Feature:1. Each piece of the reptile hammock comes with 3 suction cups that can be placed in the tank at will at multiple angles.2. Made from breathable mesh, will be the place for your favorite reptile to hang out and climb around.3. The strong suction cups will hold your lounger in place no matter in glass, or acrylic aquariums, terrariums, vivariums, or your window in the sun.4. A good hammock for reptiles, it can be used as a bed or playing hammock, and it is also suitable for other small pets.5. The reptile mesh hammock is suitable for bearded dragons, lizards, iguanas, anoles, geckos, snakes, etc.Specification:Item Type: Reptile HammockMaterial: MeshSuction Cup Diameter: Approx. 4cm / 1.6inPackage List:2 xHammockNote:Please allow 0.1‑1cm/ 0.04‑0.4in error due to manual measurement."
Feedme Complete Aquarium Fish Food Pellet High Protein & Fiber for All Types of All Life Stages Aquarium Fish - 450g,fish,https://m.media-amazon.com/images/I/51f0r08GAUS._SS522_.jpg~https://m.media-amazon.com/images/I/51p9efg1ozS._SS522_.jpg~https://m.media-amazon.com/images/I/51h9oN0MKwS._SS522_.jpg~https://m.media-amazon.com/images/I/41BSUQzrZWS._SS522_.jpg~https://m.media-amazon.com/images/I/41OcmbhByqS._SS522_.jpg~https://m.media-amazon.com/images/I/31085wM6atS._SS522_.jpg,"Feedme Fish Food Growth Formula - Mini PelletFeedme Fish Food Growth Formula - High Quality, Premium Floating, Mini Pond Pellets - Balanced Nutritional Diet, Vitamins and Minerals. Feedme Food is the same food used by koi and goldfish breeder. We also use these diets in all Next Day Koi facilities. Feed your fish these diets and have confidence that they are receiving a nutritionally complete diet that promotes fast growth and maximum health. The Feedme aquarium fish food is perfect for all type of fish such as koi and goldfish under five inches in length. This food provides a completely balanced nutritional diet that greatly enhances growth in all fish."
